mdate,coid,月營收(累計)
2020-03-01 00:00:00+00:00,1784M,195.032
2020-03-01 00:00:00+00:00,1785,5416.929
2020-03-01 00:00:00+00:00,1785M,5416.929
2020-03-01 00:00:00+00:00,1786,109.814
2020-03-01 00:00:00+00:00,1799,77.836
2020-03-01 00:00:00+00:00,1799M,77.836
2020-03-01 00:00:00+00:00,1809,477.56
2020-03-01 00:00:00+00:00,1809M,477.56
2020-03-01 00:00:00+00:00,1819,39.194
2020-03-01 00:00:00+00:00,1819M,39.194
2020-03-01 00:00:00+00:00,1902,1122.05
2020-03-01 00:00:00+00:00,1902M,1122.05
2020-03-01 00:00:00+00:00,1907,16192.124
2020-03-01 00:00:00+00:00,1907M,16192.124
2020-03-01 00:00:00+00:00,2007,1496.493
2020-03-01 00:00:00+00:00,2007M,1496.493
2020-03-01 00:00:00+00:00,2013M,3151.884
2020-03-01 00:00:00+00:00,2014,10098.893
2020-03-01 00:00:00+00:00,2014M,10098.893
2020-03-01 00:00:00+00:00,2022,2264.937
2020-03-01 00:00:00+00:00,2022M,2264.937
2020-03-01 00:00:00+00:00,2023,12653.166
2020-03-01 00:00:00+00:00,2029,2403.712
2020-03-01 00:00:00+00:00,2029M,2403.712
2020-03-01 00:00:00+00:00,2030,2341.543
2020-03-01 00:00:00+00:00,2035M,2840.295
2020-03-01 00:00:00+00:00,2038,1875.973
2020-03-01 00:00:00+00:00,2038M,1875.973
2020-03-01 00:00:00+00:00,2061M,139.828
2020-03-01 00:00:00+00:00,2062,1374.409
2020-03-01 00:00:00+00:00,2062M,1374.409
2020-03-01 00:00:00+00:00,2063,260.448
2020-03-01 00:00:00+00:00,2063M,260.448
2020-03-01 00:00:00+00:00,2103,6493.846
2020-03-01 00:00:00+00:00,2103M,6493.846
2020-03-01 00:00:00+00:00,2104,4465.693
2020-03-01 00:00:00+00:00,2108M,2647.984
2020-03-01 00:00:00+00:00,2109,1165.698
2020-03-01 00:00:00+00:00,2109M,1165.698
2020-03-01 00:00:00+00:00,2206M,8201.196
2020-03-01 00:00:00+00:00,2207,56517.241
2020-03-01 00:00:00+00:00,2207M,56517.241
2020-03-01 00:00:00+00:00,2233,560.769
2020-03-01 00:00:00+00:00,2233M,560.769
2020-03-01 00:00:00+00:00,2235,175.604
2020-03-01 00:00:00+00:00,2235M,175.604
2020-03-01 00:00:00+00:00,2236,294.523
2020-03-01 00:00:00+00:00,2236M,294.523
2020-03-01 00:00:00+00:00,2302,98.451
2020-03-01 00:00:00+00:00,2302M,98.451
2020-03-01 00:00:00+00:00,2311,42438.529
2020-03-01 00:00:00+00:00,2311M,42438.529
2020-03-01 00:00:00+00:00,2315,64.78
2020-03-01 00:00:00+00:00,2316,1088.728
2020-03-01 00:00:00+00:00,2316M,1088.728
2020-03-01 00:00:00+00:00,2321,250.861
2020-03-01 00:00:00+00:00,2321M,250.861
2020-03-01 00:00:00+00:00,2323,2663.957
2020-03-01 00:00:00+00:00,2327M,10020.156
2020-03-01 00:00:00+00:00,2328,4708.848
2020-03-01 00:00:00+00:00,2328M,4708.848
2020-03-01 00:00:00+00:00,2332M,3671.532
2020-03-01 00:00:00+00:00,2342,396.948
2020-03-01 00:00:00+00:00,2342M,396.948
